"","Date","Station","n_mol","month"
"1",2014-01-21,"421",0.00214683835610249,1
"2",2014-04-17,"421",0.00470546515287529,4
"3",2014-06-24,"421",0.0121888007308778,6
"4",2015-02-19,"421",0.0236847692085307,2
"5",2015-06-23,"421",0.0522927592458635,6
"6",2015-09-30,"421",0.0329638170496848,9
"7",2016-02-16,"421",0.013541664669646,2
"8",2016-09-27,"421",0.0375783835243483,9
"9",2016-10-26,"421",0.0578674324781076,10
"10",2017-05-24,"421",0.0519699492344787,5
"11",2017-06-21,"421",0.0494649769443948,6
"12",2017-09-27,"421",0.0186704044120048,9
"13",2017-10-26,"421",0.0130287105383796,10
"14",2014-01-20,"435",0.00296048799786904,1
"15",2014-04-16,"435",0.0021904946595724,4
"16",2014-06-24,"435",0.0278790642870754,6
"17",2015-02-18,"435",0.0131874304068198,2
"18",2015-06-24,"435",0.165707550362474,6
"19",2015-09-29,"435",0.0780120793250598,9
"20",2016-02-17,"435",0.00968712076895431,2
"21",2016-10-26,"435",0.11728799729796,10
"22",2017-03-28,"435",0.0246168434584123,3
"23",2017-05-24,"435",0.109053157610823,5
"24",2017-06-21,"435",0.0679372568406189,6
"25",2017-09-26,"435",0.0415840492918412,9
"26",2017-10-25,"435",0.0145522331171901,10
"27",2017-12-19,"435",0.0105631537864161,12
"28",2014-01-21,"LW01",0.00352793396640659,1
"29",2014-04-16,"LW01",0.00799307999220012,4
"30",2015-02-19,"LW01",0.0149752627614876,2
"31",2015-06-23,"LW01",0.0940313175710312,6
"32",2015-09-30,"LW01",0.010272810799527,9
"33",2016-02-16,"LW01",0.0142444634618771,2
"34",2016-09-28,"LW01",0.0134068426166866,9
"35",2016-10-26,"LW01",0.0199945071887899,10
"36",2017-03-29,"LW01",0.0226325598324782,3
"37",2017-05-24,"LW01",0.120598090051371,5
"38",2017-06-20,"LW01",0.0978252675604922,6
"39",2017-09-27,"LW01",0.0173740931853583,9
"40",2017-10-26,"LW01",0.0173234469914333,10
"41",2014-01-21,"LW02",0.00412227921434065,1
"42",2014-04-16,"LW02",0.00155264262123855,4
"43",2015-02-18,"LW02",0.000544747555531283,2
"44",2015-06-23,"LW02",0.0703538116021436,6
"45",2015-09-30,"LW02",0.0437771997669591,9
"46",2016-02-17,"LW02",0.00609420118950405,2
"47",2016-09-28,"LW02",0.00786107513860882,9
"48",2016-10-26,"LW02",0.0105331360743552,10
"49",2017-03-29,"LW02",0.0250244446784298,3
"50",2017-05-24,"LW02",0.157032022332268,5
"51",2017-06-21,"LW02",0.0244911444819086,6
"52",2017-09-26,"LW02",0.0521133916032617,9
"53",2017-10-25,"LW02",0.0113265685075657,10
"54",2017-12-19,"LW02",0.00305991763484308,12
"55",2014-01-21,"W08",0.00141134419105307,1
"56",2014-04-17,"W08",0.00422767817402287,4
"57",2014-06-24,"W08",0.0139787123592388,6
"58",2015-02-19,"W08",0.0163045184354305,2
"59",2015-06-23,"W08",0.0436678631397907,6
"60",2015-09-30,"W08",0.0218594156036876,9
"61",2016-02-16,"W08",0.015351267559298,2
"62",2016-09-28,"W08",0.0394378735688874,9
"63",2017-03-29,"W08",0.0366171914673313,3
"64",2017-05-24,"W08",0.189686628148562,5
"65",2017-06-20,"W08",0.0552221855240873,6
"66",2017-09-27,"W08",0.0263362112837709,9
"67",2017-10-26,"W08",0.00955364202637311,10
"68",2014-01-21,"W09",0.00564748665549488,1
"69",2014-04-16,"W09",0.00211213304210713,4
"70",2014-06-24,"W09",0.298231880472049,6
"71",2015-02-18,"W09",0.0143833926100264,2
"72",2015-06-23,"W09",0.0404101430720432,6
"73",2015-09-30,"W09",0.0871116366200531,9
"74",2016-02-17,"W09",0.00796861981376939,2
"75",2016-09-28,"W09",0.0174608009139319,9
"76",2016-10-26,"W09",0.0361810750553823,10
"77",2017-03-29,"W09",0.0657050128073259,3
"78",2017-05-24,"W09",0.0789506595953553,5
"79",2017-06-21,"W09",0.0506346890928073,6
"80",2017-09-26,"W09",0.04955456443532,9
"81",2017-10-25,"W09",0.0120331451498552,10
"82",2017-12-19,"W09",0.0105553245482265,12
"83",2014-01-21,"W10",0.0021844321978114,1
"84",2014-04-16,"W10",0.00259860128355142,4
"85",2014-06-24,"W10",0.0100604115388172,6
"86",2015-02-18,"W10",0.00696840716991463,2
"87",2015-06-23,"W10",0.0696193903445134,6
"88",2015-09-30,"W10",0.0296302318538238,9
"89",2016-02-16,"W10",0.0100895689142884,2
"90",2016-09-28,"W10",0.0315494021513148,9
"91",2016-10-26,"W10",0.0283016530933891,10
"92",2017-03-29,"W10",0.00423921814047703,3
"93",2017-05-24,"W10",0.13078467049552,5
"94",2017-06-21,"W10",0.0903835742256105,6
"95",2017-09-26,"W10",0.0524334900590218,9
"96",2017-10-25,"W10",0.0090173559736057,10
